average_rtt,packet_loss,bits_per_second,bu_ratio,retransmits,cpu_host_total,cpu_host_user,cpu_host_system,cpu_remote_total,cpu_remote_user,cpu_remote_system,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,psnr,ssim_first_value,ssim_second_value,traffic_type
1627.341,5.4,318158.3193301287,96.8184168066987,82,4.048399573515471,1.432650984763109,2.615584892029279,0.0089933072299629,0.0,0.0089954099438348,18198,22,1652,18198,12,964,15752,10,688,66,75.0909090909091,24.991253881363587,181,66,80.33333333333334,33.40205038163031,181,66,68.8,3.614784456460256,74,0,866.5714285714287,1232.6809632434731,4593,0,1654.3636363636365,1431.439504326136,4993,0,1750.2222222222222,1433.4943126655385,4593,24.063971,0.947821,12.825052,3
1669.043,2.8000000000000003,67571.88279024944,99.3242811720975,51,4.967423946533081,1.9273050309441933,3.04011700474577,0.0065825978965622,0.0,0.0065843861600494,27386,20,1512,27386,11,898,24928,9,614,66,75.60000000000002,26.184366569225595,181,66,81.63636363636364,34.71101475691175,181,66,68.22222222222223,3.3082388735465367,74,0,1441.3684210526314,2760.613040019399,11831,0,2738.5999999999995,3924.671428568539,13356,0,3116.0,3721.6424177658832,11831,14.248251,0.670179,4.817211,3
1613.321,4.2,347892.5887152127,96.52107411284788,32,4.493021878903981,1.669899939862422,2.823121939041559,0.0093673179795645,0.0,0.0093652428094317,19048,18,1372,19048,10,832,16481,8,540,66,76.22222222222223,27.573549891059933,181,66,83.2,36.17795522752004,181,66,67.5,2.672612419124244,74,0,1120.4705882352944,1465.6389868265248,4747,0,2116.4444444444443,2266.9035660516697,7367,0,2354.428571428571,1556.8884414265588,4747,22.171904,0.927911,11.421291,3
255.08,0.0,7931268.434936147,20.687315650638524,226,1.9216883102951,0.4970867817463013,1.4245983357709129,0.0385001759903216,0.0055799572095248,0.0329202187807967,1832,17,1298,1832,9,758,1574,8,540,66,76.3529411764706,28.416415098650702,181,66,84.22222222222223,38.21903248964375,181,66,67.5,2.672612419124244,74,0,114.49999999999996,137.0201931590134,445,0,229.0,158.03706617662291,471,0,224.8571428571429,178.69380568580488,512,38.425758,0.99742,25.884557,1
253.803,0.0,7972217.500164327,20.27782499835673,427,1.741939769494241,0.5943235836498785,1.1476129937655188,0.0408856638752737,0.0185338153327689,0.0223518485425048,1840,17,1298,1840,9,758,1584,8,540,66,76.3529411764706,28.416415098650702,181,66,84.22222222222223,38.21903248964375,181,66,67.5,2.672612419124244,74,0,115.0,137.50103029917025,447,0,230.0,158.54246839794783,472,0,226.28571428571428,179.89600170257103,516,39.021784,0.998303,27.702803,1
255.304,0.0,7814542.435403198,21.854575645968023,282,1.888950300533034,0.7633207331794682,1.125623181762932,0.0399199826804456,0.0,0.0399169248495241,1831,17,1298,1831,9,758,1577,8,540,66,76.3529411764706,28.416415098650702,181,66,84.22222222222223,38.21903248964375,181,66,67.5,2.672612419124244,74,0,114.4375,136.9836821182241,445,0,228.875,158.05102024346442,471,0,225.28571428571428,178.97924859762773,513,39.015512,0.998291,27.673789,1
268.934,0.0,5256036.070858787,47.43963929141213,478,1.4679096978127344,0.5419935578477059,0.9259129565801584,0.0400993461223953,0.0,0.0401054444185131,1921,17,1298,1921,9,758,1667,8,540,66,76.3529411764706,28.416415098650702,181,66,84.22222222222223,38.21903248964375,181,66,67.5,2.672612419124244,74,0,120.0625,146.6808184460395,475,0,240.125,169.46675822372111,500,0,238.1428571428572,193.2816843982107,547,23.307455,0.938549,12.114691,2
258.381,0.0,5315806.3453244055,46.841936546755946,547,1.4291353182938604,0.6068504037593596,0.8222849145345006,0.0347616498839031,0.0,0.0347616498839031,1834,17,1298,1834,9,758,1581,8,540,66,76.3529411764706,28.416415098650702,181,66,84.22222222222223,38.21903248964375,181,66,67.5,2.672612419124244,74,0,114.625,137.17768283021357,440,0,229.25,157.6703160757553,465,0,225.8571428571429,178.9407989358758,509,31.51753,0.984614,18.128635,2
258.597,0.0,5242479.317625559,47.57520682374441,514,1.409405416430258,0.6069701227002731,0.8024352937299851,0.0347335940364169,0.0347733105218135,0.0,1857,17,1298,1857,9,758,1602,8,540,66,76.3529411764706,28.416415098650702,181,66,84.22222222222223,38.21903248964375,181,66,67.5,2.672612419124244,74,0,116.0625,140.50882238018605,457,0,232.125,161.7524011744935,482,0,228.85714285714283,183.1187488775417,523,32.606466,0.995399,23.371111,2
260.332,0.0,4949291.925292759,50.50708074707241,548,1.4458604932531776,0.5668447207779965,0.879015772475181,0.0348124358483947,0.0,0.0348124358483947,1862,17,1298,1862,9,758,1607,8,540,66,76.3529411764706,28.416415098650702,181,66,84.22222222222223,38.21903248964375,181,66,67.5,2.672612419124244,74,0,116.375,138.94213423820247,445,0,232.75,159.1223698020758,470,0,229.57142857142856,179.8627783829079,512,37.146903,0.99575,23.71573,2
257.013,0.0,5289209.441719745,47.10790558280255,551,1.3954323875543144,0.5133750800816993,0.8820573074726152,0.0357553259894581,0.0357583822614462,0.0,1859,17,1298,1859,9,758,1599,8,540,66,76.3529411764706,28.416415098650702,181,66,84.22222222222223,38.21903248964375,181,66,67.5,2.672612419124244,74,0,116.1875,137.90248668292148,442,0,232.375,158.50636535212982,467,0,228.42857142857144,178.7771957333645,511,36.545619,0.995065,23.067132,2
258.987,0.0,5260635.817928881,47.39364182071119,593,1.3759035474749373,0.5704537801491135,0.8054497673258239,0.0333201517460337,0.0,0.0333232075193046,1878,17,1298,1878,9,758,1606,8,540,66,76.3529411764706,28.416415098650702,181,66,84.22222222222223,38.21903248964375,181,66,67.5,2.6726124191242437,74,0,117.375,139.91467638052364,444,0,234.75,159.60106515935286,469,0,229.42857142857144,179.27061215088318,510,22.907993,0.930441,11.576482,2
