average_rtt,packet_loss,bits_per_second,bu_ratio,retransmits,cpu_host_total,cpu_host_system,bidirectional_duration_ms,src2dst_duration_ms,dst2src_duration_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,traffic_type,traffic_type_numeric
1561.634,12.4,861089.5442219998,91.38910455778,143,3.749818,3.262176,17238,17238,14863,861.9000000000003,1372.428002138047,5158,1567.090909090909,1555.2202708648992,5158,1857.875,2427.591483490228,7149,high,2
1579.96,11.2,1042366.469536,89.57633530464001,148,3.349446,2.801653,17120,17120,14704,901.0526315789472,1411.3469324523612,5220,1712.0,1581.827424215423,5220,1838.0,2470.896945298552,7226,high,2
1682.569,12.0,790239.286422,92.09760713578,122,3.632624,3.117006,16754,16754,14431,837.7,1323.1922365011224,4947,1523.090909090909,1494.0770030052302,4947,1803.875,2364.037795050784,6973,high,2
1571.672,11.4,620142.336306,93.79857663694,84,3.87658,3.381408,18048,18048,15656,902.4,1427.875212003007,5104,1640.7272727272727,1612.9913881300852,5104,1957.0,2537.37276950561,7358,high,2
1546.2420000000006,12.6,652182.331461,93.47817668539,90,3.774115,3.268269,19171,19171,16870,912.904761904762,1302.4488437079556,4733,1742.818181818182,1987.8558206359844,6934,1874.4444444444448,1490.9281598312436,4733,high,2
1593.561,11.6,649670.858839,93.50329141161,54,3.872323,3.4580660000000005,19271,19271,16905,917.6666666666664,1309.9893638245055,4783,1751.909090909091,1961.2864377517856,6827,1878.333333333333,1502.8982833179364,4783,high,2
1617.138,10.4,602186.914752,93.97813085248,71,3.93255,3.284047,19300,19300,16937,965.0,1341.9616435023688,4755,1930.0,1975.5291836759984,6737,1881.888888888889,1530.3705796672614,4755,high,2
1564.899,13.4,850650.82037,91.4934917963,134,3.719322,3.0939080000000003,17070,17070,14732,898.421052631579,1390.5143858694676,5027,1707.0,1547.6885991697425,5027,1841.5,2422.8076982825405,7046,high,2
1573.543,14.2,880588.7242909998,91.19411275709,165,3.5573019999999995,3.077809,17060,17060,14766,852.9999999999999,1367.0384432279725,4921,1550.909090909091,1554.223243587964,4921,1845.75,2400.8301986723554,6918,high,2
1539.126,14.6,661842.3488319999,93.38157651168,178,3.785635,3.185308,16806,16806,14474,840.3,1325.7257039468095,4925,1527.818181818182,1496.1448337765844,4925,1809.25,2357.435940653683,6935,high,2
1540.501,11.6,902607.352253,90.97392647747,170,3.958765,3.348361,14998,14998,12612,714.190476190476,1055.2824559826445,3863,1363.4545454545455,1150.5937913648206,3889,1401.333333333333,1279.3985891816517,3889,high,2
1545.172,16.400000000000002,734044.074425,92.65955925575,145,3.734321,3.163973,17319,17319,14978,865.95,1386.2199064172214,5165,1574.4545454545455,1574.637759209169,5165,1872.25,2467.541908748173,7235,high,2
1587.904,11.8,865537.439532,91.34462560468,127,3.598291,2.996141,16943,16943,14614,847.15,1347.3889476746456,4988,1540.2727272727273,1526.4690033478628,4988,1826.75,2397.7327236966407,7023,high,2
1744.187,11.4,552580.329712,94.47419670288,60,4.443957,3.755164,14117,14117,11876,672.2380952380953,976.276031907058,3365,1283.3636363636365,1053.692485759225,3390,1319.5555555555557,1173.3173175990278,3390,high,2
1630.1429999999998,12.8,977712.100557,90.22287899443,141,3.658222,3.0935330000000003,16987,16987,14638,849.35,1356.8738945788125,5156,1544.2727272727273,1539.9381215431413,5156,1829.75,2431.376843918453,7196,high,2
1573.727,13.6,524580.910477,94.75419089523,66,3.844083,3.210348,19371,19371,16978,922.4285714285712,1318.5856275353744,4861,1761.0,1956.1343512141489,6822,1886.4444444444448,1514.8530548465014,4861,high,2
1609.165,10.0,973265.564999,90.26734435001,181,3.133214,2.695718,17635,17635,15121,881.7500000000001,1201.8931940900572,4471,1763.5,1809.3022135619024,6368,1680.111111111111,1364.8892303447594,4471,high,2
1572.429,10.0,1025775.923416,89.74224076584,161,3.768999,3.255834,15158,15158,12823,721.809523809524,1093.6929468112892,4075,1378.0,1211.4792610688803,4100,1424.7777777777774,1347.5865257728144,4100,high,2
1647.634,12.8,984814.854412,90.15185145588,214,3.2494400000000003,2.845537,14203,14203,11866,710.15,1003.8557390067768,3214,1420.3,1038.876107467424,3239,1318.4444444444443,1196.8447174875184,3239,high,2
1583.392,12.8,1303192.074557,86.96807925443001,266,3.071503,2.606856,16644,16644,14252,832.1999999999997,1341.5204492625053,5212,1513.090909090909,1529.3160206148011,5212,1781.5,2418.5151879377795,7197,high,2
1576.469,10.6,793704.3027270002,92.06295697273,175,3.571388,3.066691,16883,16883,14552,888.5789473684214,1377.9971099707427,5034,1688.3000000000006,1535.8538739809271,5034,1819.0,2420.3632549091235,7072,high,2
1544.557,14.4,586750.335283,94.13249664717,128,3.879629,3.313442,19176,19176,16857,913.1428571428572,1304.8951408337105,4741,1743.2727272727273,1975.5177595207333,6873,1873.0,1497.3949044924657,4741,high,2
1580.7679999999998,12.0,801042.911263,91.98957088737,111,3.704147,3.119287,16861,16861,14547,843.0500000000003,1336.1639702009472,4930,1532.8181818181818,1511.2169148194323,4930,1818.375,2377.805647320355,6965,high,2
1576.878,9.4,697366.900557,93.02633099443,136,3.814995,3.248582,16994,16994,14660,849.7,1355.834180980768,5158,1544.909090909091,1538.0071166639934,5158,1832.5,2419.196678947078,7164,high,2
1595.477,13.4,927287.597497,90.72712402503,190,4.050692,3.436338,15167,15167,12792,722.2380952380953,1068.052381897157,3850,1378.8181818181818,1164.4183799804794,3875,1421.333333333333,1294.5835237635304,3875,high,2
1568.64,15.6,656809.912744,93.43190087256,163,3.212048,2.723001,18505,18505,16178,925.25,1290.5588701676577,4720,1850.5,1978.137971258156,6844,1797.5555555555554,1482.3864299762656,4720,high,2
1568.5379999999998,13.6,984079.594629,90.15920405371,171,2.883213,2.512037,17565,17565,15157,878.25,1170.7468095644176,4076,1596.8181818181815,1186.908490000962,4081,1894.625,1976.7299792117,6166,high,2
1673.0079999999994,11.2,991413.650708,90.08586349292,94,3.753793,3.112726,17236,17236,14876,907.1578947368422,1413.776788258155,5077,1723.6,1579.832213313243,5077,1859.5,2457.601560174356,7108,high,2
1524.906,13.6,801608.385787,91.98391614213,122,3.675455,3.142653,16648,16648,14350,832.3999999999999,1320.18170200764,4935,1513.4545454545453,1493.564485627344,4935,1793.7500000000002,2364.287977987695,6966,high,2
1887.885,21.6,825757.90859,91.7424209141,116,3.482272,2.952978,19351,19351,17115,921.4761904761904,1388.3339518663226,4959,1612.5833333333337,1532.8523891652767,4959,2139.375,2290.6660876260426,6856,high,2
1618.2420000000006,13.8,923823.052803,90.76176947196998,179,3.663974,3.1800580000000003,14905,14905,12508,709.7619047619047,1052.348321838445,3841,1355.0,1149.9755649577949,3866,1389.7777777777774,1279.9646262473211,3867,high,2
1522.5510000000006,12.6,539824.0950770001,94.60175904923,97,3.783963,3.291538,19218,19218,16851,873.5454545454545,1315.7827917169134,5094,1601.5,1457.7855871772836,5094,1872.333333333333,2132.0412753978285,6760,high,2
1648.967,11.2,1043139.38246,89.5686061754,168,3.641829,3.157132,14893,14893,12499,709.1904761904763,1052.1037315325718,3854,1353.909090909091,1150.4830685017016,3879,1388.7777777777774,1280.1646161507683,3880,high,2
1549.566,11.6,372618.633555,96.27381366445,66,4.432512,3.74263,12157,12157,10173,607.8499999999998,879.1528982043184,3201,1215.7,934.5920143749,3227,1130.3333333333333,1070.021261471005,3227,high,2
1585.99,12.0,417028.549803,95.82971450197,75,4.159925,3.653136,19720,19720,17374,939.047619047619,1335.8851176725666,4735,1792.7272727272727,1995.503850705836,6875,1930.4444444444448,1523.2830589807584,4735,high,2
1580.067,9.0,1005312.959278,89.94687040722,181,3.817766,3.340723,15010,15010,12628,714.7619047619047,1062.6784981715732,3899,1364.5454545454547,1163.0131868243252,3924,1403.111111111111,1294.040614165997,3925,high,2
1601.921,11.6,797162.781199,92.02837218801,77,4.126716,3.4218230000000003,16589,16589,14207,829.45,1307.3831426092916,5071,1508.090909090909,1474.5749526250236,5071,1775.875,2295.275360853869,6870,high,2
1581.461,11.2,305628.740391,96.94371259609,74,3.764857,3.172174,15692,15692,13316,747.2380952380953,1171.4665981052085,4594,1426.5454545454547,1323.7218260372051,4619,1479.5555555555554,1471.6739712918002,4619,high,2
1765.466,18.0,1223675.673435,87.76324326565,241,3.0798650000000003,2.758653,18902,18902,16631,859.1818181818181,1298.4003578162974,4884,1575.166666666667,1446.245347809495,4884,1847.888888888889,2203.082184375133,6919,high,2
